Depth_m,North_Atlantic_min,North_Atlantic_max,Coastal_N Atlantic_min,Coastal_N Atlantic_max,Equatorial_Atlant_min,Equatorial_Atlant_max,Coastal_Eq_ Atlant_min,Coastal_Eq_ Atlant_max,South_Atlantic_min,South_Atlantic_max,Coastal_S_Atlantic_min,Coastal_S_Atlantic_max,North_Pacific_min,North_Pacific_max,Coastal_N_Pac_min,Coastal_N_Pac_max,Equatorial_Pac_min,Equatorial_Pac_max,Coastal_Eq Pac_min,Coastal_Eq Pac_max,South_Pacific_min,South_Pacific_max,Coastal_S_Pac_min,Coastal_S_Pac_max,North_Indian_min,North_Indian_max,Coastal_N_Indian_min,Coastal_N_Indian_max,Equatorial_Indian_min,Equatorial_Indian_max,Coastal_Eq Indian_min,Coastal_Eq Indian_max,South_Indian_min,South_Indian_max,Coastal_S_Indian_min,Coastal_S_Indian_max,Antarctic_min,Antarctic_max,Arctic_min,Arctic_max,Mediteranean_min,Mediteranean_max,Black_Sea_min,Black_Sea_max,Baltic_Sea_min,Baltic_Sea_max,Persian_Gulf_min,Persian_Gulf_max,Red_Sea_min,Red_Sea_max,Sulu_Sea_min,Sulu_Sea_max,NW_Pacific_min,NW_Pacific_max,Yellow_Sea_min,Yellow_Sea_max,Japan_Sea_min,Japan_Sea_max,Seto_Inland_Sea_min,Seto_Inland_Sea_max
850,-1.500,20.000,-2.100,20.000,-0.500,20.000,0.000,20.000,-1.500,20.000,-2.100,20.000,-2.100,20.000,-2.100,20.000,0.000,20.000,0.000,20.000,-2.000,20.000,-2.100,20.000,0.000,20.000,-2.100,20.000,0.000,20.000,0.000,20.000,0.000,20.000,-2.100,20.000,-2.400,10.000,-3.000,9.000,3.000,20.000,5.000,17.000,-2.000,16.000,-3.000,32.000,10.000,26.000,0.000,20.000,2.000,11.000,4.000,7.600,0.000,0.620,5.000,10.000
900,-1.500,20.000,-2.100,20.000,-0.500,20.000,0.000,20.000,-1.500,20.000,-2.100,20.000,-2.100,20.000,-2.100,20.000,0.000,20.000,0.000,20.000,-2.000,20.000,-2.100,20.000,0.000,20.000,-2.100,20.000,0.000,20.000,0.000,20.000,0.000,20.000,-2.100,20.000,-2.400,10.000,-3.000,9.000,3.000,20.000,5.000,16.000,-2.000,16.000,-3.000,32.000,10.000,26.000,0.000,20.000,2.000,8.000,3.700,7.300,0.000,0.520,5.000,10.000
950,-1.500,20.000,-2.100,20.000,-0.500,20.000,0.000,20.000,-1.500,20.000,-2.100,20.000,-2.100,20.000,-2.100,20.000,0.000,20.000,0.000,20.000,-2.000,20.000,-2.100,20.000,0.000,20.000,-2.100,20.000,0.000,20.000,0.000,20.000,0.000,20.000,-2.100,20.000,-2.400,10.000,-3.000,9.000,3.000,20.000,5.000,16.000,-2.000,16.000,-3.000,32.000,10.000,26.000,0.000,20.000,2.000,8.000,3.700,7.300,0.000,0.520,5.000,10.000
1000,-1.500,18.000,-2.100,18.000,-0.500,18.000,0.000,18.000,-1.500,18.000,-2.100,18.000,-2.100,18.000,-2.100,18.000,0.000,18.000,0.000,18.000,-2.000,18.000,-2.100,18.000,0.000,18.000,-2.100,18.000,0.000,18.000,0.000,18.000,0.000,18.000,-2.100,18.000,-2.400,10.000,-3.000,8.000,3.000,20.000,5.000,16.000,-2.000,16.000,-3.000,32.000,10.000,23.000,0.000,18.000,2.000,6.500,3.500,7.000,0.000,0.440,5.000,10.000
1050,-1.500,18.000,-2.100,18.000,-0.500,18.000,0.000,18.000,-1.500,18.000,-2.100,18.000,-2.100,18.000,-2.100,18.000,0.000,18.000,0.000,18.000,-2.000,18.000,-2.100,18.000,0.000,18.000,-2.100,18.000,0.000,18.000,0.000,18.000,0.000,18.000,-2.100,18.000,-2.400,10.000,-3.000,8.000,3.000,20.000,5.000,16.000,-2.000,16.000,-3.000,32.000,10.000,23.000,0.000,18.000,2.000,6.500,3.500,7.000,0.000,0.440,5.000,10.000
1100,-1.500,18.000,-2.100,18.000,-0.500,18.000,0.000,18.000,-1.500,18.000,-2.100,18.000,-2.100,18.000,-2.100,18.000,0.000,18.000,0.000,18.000,-2.000,18.000,-2.100,18.000,0.000,18.000,-2.100,18.000,0.000,18.000,0.000,18.000,0.000,18.000,-2.100,18.000,-2.400,10.000,-3.000,8.000,3.000,20.000,5.000,16.000,-2.000,16.000,-3.000,32.000,10.000,23.000,0.000,18.000,2.000,5.300,3.400,6.000,0.000,0.400,5.000,10.000
1150,-1.500,18.000,-2.100,18.000,-0.500,18.000,0.000,18.000,-1.500,18.000,-2.100,18.000,-2.100,18.000,-2.100,18.000,0.000,18.000,0.000,18.000,-2.000,18.000,-2.100,18.000,0.000,18.000,-2.100,18.000,0.000,18.000,0.000,18.000,0.000,18.000,-2.100,18.000,-2.400,10.000,-3.000,8.000,3.000,20.000,5.000,16.000,-2.000,16.000,-3.000,32.000,10.000,23.000,0.000,18.000,2.000,5.300,3.400,6.000,0.000,0.400,5.000,10.000
1200,-1.500,18.000,-2.100,18.000,-0.500,18.000,0.000,18.000,-1.500,18.000,-2.100,18.000,-2.100,18.000,-2.100,18.000,0.000,18.000,0.000,18.000,-2.000,18.000,-2.100,18.000,0.000,18.000,-2.100,18.000,0.000,18.000,0.000,18.000,0.000,18.000,-2.100,18.000,-2.400,7.000,-3.000,8.000,3.000,18.000,5.000,16.000,-2.000,16.000,-3.000,32.000,10.000,23.000,0.000,18.000,1.950,4.700,3.300,5.000,0.000,0.370,5.000,10.000
1250,-1.500,18.000,-2.100,18.000,-0.500,18.000,0.000,18.000,-1.500,18.000,-2.100,18.000,-2.100,18.000,-2.100,18.000,0.000,18.000,0.000,18.000,-2.000,18.000,-2.100,18.000,0.000,18.000,-2.100,18.000,0.000,18.000,0.000,18.000,0.000,18.000,-2.100,18.000,-2.400,7.000,-3.000,8.000,3.000,18.000,5.000,16.000,-2.000,16.000,-3.000,32.000,10.000,23.000,0.000,18.000,1.950,4.700,3.300,5.000,0.000,0.370,5.000,10.000
1300,-1.500,18.000,-2.100,18.000,-0.500,18.000,0.000,18.000,-1.500,18.000,-2.100,18.000,-2.100,18.000,-2.100,18.000,0.000,18.000,0.000,18.000,-2.000,18.000,-2.100,18.000,0.000,18.000,-2.100,18.000,0.000,18.000,0.000,18.000,0.000,18.000,-2.100,18.000,-2.400,7.000,-3.000,8.000,3.000,18.000,5.000,16.000,-2.000,16.000,-3.000,32.000,10.000,23.000,0.000,18.000,1.900,4.100,3.200,4.900,0.000,0.340,5.000,10.000
1350,-1.500,18.000,-2.100,18.000,-0.500,18.000,0.000,18.000,-1.500,18.000,-2.100,18.000,-2.100,18.000,-2.100,18.000,0.000,18.000,0.000,18.000,-2.000,18.000,-2.100,18.000,0.000,18.000,-2.100,18.000,0.000,18.000,0.000,18.000,0.000,18.000,-2.100,18.000,-2.400,7.000,-3.000,8.000,3.000,18.000,5.000,16.000,-2.000,16.000,-3.000,32.000,10.000,23.000,0.000,18.000,1.900,4.100,3.200,4.900,0.000,0.340,5.000,10.000
1400,-1.500,18.000,-2.100,18.000,-0.500,18.000,0.000,18.000,-1.500,18.000,-2.100,18.000,-2.100,18.000,-2.100,18.000,0.000,18.000,0.000,18.000,-2.000,18.000,-2.100,18.000,0.000,18.000,-2.100,18.000,0.000,18.000,0.000,18.000,0.000,18.000,-2.100,18.000,-2.400,7.000,-3.000,8.000,3.000,18.000,5.000,16.000,-2.000,16.000,-3.000,32.000,10.000,23.000,0.000,18.000,1.850,3.700,3.100,4.600,0.000,0.310,5.000,10.000
1450,-1.500,18.000,-2.100,18.000,-0.500,18.000,0.000,18.000,-1.500,18.000,-2.100,18.000,-2.100,18.000,-2.100,18.000,0.000,18.000,0.000,18.000,-2.000,18.000,-2.100,18.000,0.000,18.000,-2.100,18.000,0.000,18.000,0.000,18.000,0.000,18.000,-2.100,18.000,-2.400,7.000,-3.000,8.000,3.000,18.000,5.000,16.000,-2.000,16.000,-3.000,32.000,10.000,23.000,0.000,18.000,1.850,3.700,3.100,4.600,0.000,0.310,5.000,10.000
1500,-1.500,18.000,-2.100,18.000,-0.500,18.000,0.000,18.000,-1.500,18.000,-2.100,18.000,-2.100,18.000,-2.100,18.000,0.000,18.000,0.000,18.000,-2.000,18.000,-2.100,18.000,0.000,18.000,-2.100,18.000,0.000,18.000,0.000,18.000,0.000,18.000,-2.100,18.000,-2.400,7.000,-3.000,8.000,3.000,18.000,5.000,16.000,-2.000,16.000,-3.000,32.000,10.000,23.000,0.000,18.000,1.800,3.500,3.000,4.500,0.000,0.280,5.000,10.000
1550,-1.500,18.000,-2.100,18.000,-0.500,18.000,0.000,18.000,-1.500,18.000,-2.100,18.000,-2.100,18.000,-2.100,18.000,0.000,18.000,0.000,18.000,-2.000,18.000,-2.100,18.000,0.000,18.000,-2.100,18.000,0.000,18.000,0.000,18.000,0.000,18.000,-2.100,18.000,-2.400,7.000,-3.000,8.000,3.000,18.000,5.000,16.000,-2.000,16.000,-3.000,32.000,10.000,23.000,0.000,18.000,1.800,3.500,3.000,4.500,0.000,0.280,5.000,10.000
1600,-1.500,18.000,-2.100,18.000,-0.500,18.000,0.000,18.000,-1.500,18.000,-2.100,18.000,-2.100,18.000,-2.100,18.000,0.000,18.000,0.000,18.000,-2.000,18.000,-2.100,18.000,0.000,18.000,-2.100,18.000,0.000,18.000,0.000,18.000,0.000,18.000,-2.100,18.000,-2.400,7.000,-3.000,8.000,3.000,18.000,5.000,16.000,-2.000,16.000,-3.000,32.000,10.000,23.000,0.000,18.000,1.800,3.500,3.000,4.500,0.000,0.280,5.000,10.000
1650,-1.500,18.000,-2.100,18.000,-0.500,18.000,0.000,18.000,-1.500,18.000,-2.100,18.000,-2.100,18.000,-2.100,18.000,0.000,18.000,0.000,18.000,-2.000,18.000,-2.100,18.000,0.000,18.000,-2.100,18.000,0.000,18.000,0.000,18.000,0.000,18.000,-2.100,18.000,-2.400,7.000,-3.000,8.000,3.000,18.000,5.000,16.000,-2.000,16.000,-3.000,32.000,10.000,23.000,0.000,18.000,1.800,3.500,3.000,4.500,0.000,0.280,5.000,10.000
1700,-1.500,18.000,-2.100,18.000,-0.500,18.000,0.000,18.000,-1.500,18.000,-2.100,18.000,-2.100,18.000,-2.100,18.000,0.000,18.000,0.000,18.000,-2.000,18.000,-2.100,18.000,0.000,18.000,-2.100,18.000,0.000,18.000,0.000,18.000,0.000,18.000,-2.100,18.000,-2.400,7.000,-3.000,8.000,3.000,18.000,5.000,16.000,-2.000,16.000,-3.000,32.000,10.000,23.000,0.000,18.000,1.800,3.500,3.000,4.500,0.000,0.280,5.000,10.000
1750,-1.500,13.000,-2.100,13.000,-0.500,13.000,0.000,13.000,-1.500,13.000,-2.100,13.000,-2.100,13.000,-2.100,13.000,0.000,13.000,0.000,13.000,-2.000,13.000,-2.100,13.000,0.000,13.000,-2.100,13.000,0.000,13.000,0.000,13.000,0.000,13.000,-2.100,13.000,-2.400,7.000,-3.000,8.000,3.000,16.000,5.000,16.000,-2.000,16.000,-3.000,32.000,10.000,34.000,0.000,13.000,1.600,3.100,3.000,4.500,0.030,0.250,5.000,10.000
1800,-1.500,13.000,-2.100,13.000,-0.500,13.000,0.000,13.000,-1.500,13.000,-2.100,13.000,-2.100,13.000,-2.100,13.000,0.000,13.000,0.000,13.000,-2.000,13.000,-2.100,13.000,0.000,13.000,-2.100,13.000,0.000,13.000,0.000,13.000,0.000,13.000,-2.100,13.000,-2.400,7.000,-3.000,8.000,3.000,16.000,5.000,16.000,-2.000,16.000,-3.000,32.000,10.000,34.000,0.000,13.000,1.600,3.100,3.000,4.500,0.030,0.250,5.000,10.000
1850,-1.500,13.000,-2.100,13.000,-0.500,13.000,0.000,13.000,-1.500,13.000,-2.100,13.000,-2.100,13.000,-2.100,13.000,0.000,13.000,0.000,13.000,-2.000,13.000,-2.100,13.000,0.000,13.000,-2.100,13.000,0.000,13.000,0.000,13.000,0.000,13.000,-2.100,13.000,-2.400,7.000,-3.000,8.000,3.000,16.000,5.000,16.000,-2.000,16.000,-3.000,32.000,10.000,34.000,0.000,13.000,1.600,3.100,3.000,4.500,0.030,0.250,5.000,10.000
1900,-1.500,13.000,-2.100,13.000,-0.500,13.000,0.000,13.000,-1.500,13.000,-2.100,13.000,-2.100,13.000,-2.100,13.000,0.000,13.000,0.000,13.000,-2.000,13.000,-2.100,13.000,0.000,13.000,-2.100,13.000,0.000,13.000,0.000,13.000,0.000,13.000,-2.100,13.000,-2.400,7.000,-3.000,8.000,3.000,16.000,5.000,16.000,-2.000,16.000,-3.000,32.000,10.000,34.000,0.000,13.000,1.600,3.100,3.000,4.500,0.030,0.250,5.000,10.000
1950,-1.500,13.000,-2.100,13.000,-0.500,13.000,0.000,13.000,-1.500,13.000,-2.100,13.000,-2.100,13.000,-2.100,13.000,0.000,13.000,0.000,13.000,-2.000,13.000,-2.100,13.000,0.000,13.000,-2.100,13.000,0.000,13.000,0.000,13.000,0.000,13.000,-2.100,13.000,-2.400,7.000,-3.000,8.000,3.000,16.000,5.000,16.000,-2.000,16.000,-3.000,32.000,10.000,34.000,0.000,13.000,1.600,3.100,3.000,4.500,0.030,0.250,5.000,10.000
2000,-1.500,13.000,-2.100,13.000,-0.500,13.000,0.000,13.000,-1.500,13.000,-2.100,13.000,-2.100,13.000,-2.100,13.000,0.000,13.000,0.000,13.000,-2.000,13.000,-2.100,13.000,0.000,13.000,-2.100,13.000,0.000,13.000,0.000,13.000,0.000,13.000,-2.100,13.000,-2.400,7.000,-3.000,8.000,3.000,16.000,5.000,16.000,-2.000,16.000,-3.000,32.000,10.000,34.000,0.000,13.000,1.400,2.600,3.000,4.500,0.050,0.250,5.000,10.000
2100,-1.500,13.000,-2.100,13.000,-0.500,13.000,0.000,13.000,-1.500,13.000,-2.100,13.000,-2.100,13.000,-2.100,13.000,0.000,13.000,0.000,13.000,-2.000,13.000,-2.100,13.000,0.000,13.000,-2.100,13.000,0.000,13.000,0.000,13.000,0.000,13.000,-2.100,13.000,-2.400,7.000,-3.000,8.000,3.000,16.000,5.000,16.000,-2.000,16.000,-3.000,32.000,10.000,34.000,0.000,13.000,1.400,2.600,3.000,4.500,0.050,0.250,5.000,10.000
2200,-1.500,13.000,-2.100,13.000,-0.500,13.000,0.000,13.000,-1.500,13.000,-2.100,13.000,-2.100,13.000,-2.100,13.000,0.000,13.000,0.000,13.000,-2.000,13.000,-2.100,13.000,0.000,13.000,-2.100,13.000,0.000,13.000,0.000,13.000,0.000,13.000,-2.100,13.000,-2.400,7.000,-3.000,8.000,3.000,16.000,5.000,16.000,-2.000,16.000,-3.000,32.000,10.000,34.000,0.000,13.000,1.400,2.600,3.000,4.500,0.050,0.250,5.000,10.000
2300,-1.500,13.000,-2.100,13.000,-0.500,13.000,0.000,13.000,-1.500,13.000,-2.100,13.000,-2.100,13.000,-2.100,13.000,0.000,13.000,0.000,13.000,-2.000,13.000,-2.100,13.000,0.000,13.000,-2.100,13.000,0.000,13.000,0.000,13.000,0.000,13.000,-2.100,13.000,-2.400,7.000,-3.000,8.000,3.000,16.000,5.000,16.000,-2.000,16.000,-3.000,32.000,10.000,34.000,0.000,13.000,1.400,2.600,3.000,4.500,0.050,0.250,5.000,10.000
2400,-1.500,13.000,-2.100,13.000,-0.500,13.000,0.000,13.000,-1.500,13.000,-2.100,13.000,-2.100,13.000,-2.100,13.000,0.000,13.000,0.000,13.000,-2.000,13.000,-2.100,13.000,0.000,13.000,-2.100,13.000,0.000,13.000,0.000,13.000,0.000,13.000,-2.100,13.000,-2.400,7.000,-3.000,8.000,3.000,16.000,5.000,16.000,-2.000,16.000,-3.000,32.000,10.000,34.000,0.000,13.000,1.400,2.600,3.000,4.500,0.050,0.250,5.000,10.000
2500,-1.500,13.000,-2.100,13.000,-0.500,13.000,-1.000,13.000,-1.500,13.000,-2.100,13.000,-2.100,13.000,-2.100,13.000,0.000,13.000,0.000,13.000,-2.000,13.000,-2.100,13.000,0.000,13.000,-2.100,13.000,0.000,13.000,0.000,13.000,0.000,13.000,-2.100,13.000,-2.400,3.000,-3.000,8.000,3.000,16.000,5.000,16.000,-2.000,16.000,-3.000,32.000,10.000,34.000,0.000,13.000,1.300,2.100,3.000,4.500,0.100,0.300,5.000,10.000
2600,-1.500,13.000,-2.100,13.000,-0.500,13.000,-1.000,13.000,-1.500,13.000,-2.100,13.000,-2.100,13.000,-2.100,13.000,0.000,13.000,0.000,13.000,-2.000,13.000,-2.100,13.000,0.000,13.000,-2.100,13.000,0.000,13.000,0.000,13.000,0.000,13.000,-2.100,13.000,-2.400,3.000,-3.000,8.000,3.000,16.000,5.000,16.000,-2.000,16.000,-3.000,32.000,10.000,34.000,0.000,13.000,1.300,2.100,3.000,4.500,0.100,0.300,5.000,10.000
2700,-1.500,13.000,-2.100,13.000,-0.500,13.000,-1.000,13.000,-1.500,13.000,-2.100,13.000,-2.100,13.000,-2.100,13.000,0.000,13.000,0.000,13.000,-2.000,13.000,-2.100,13.000,0.000,13.000,-2.100,13.000,0.000,13.000,0.000,13.000,0.000,13.000,-2.100,13.000,-2.400,3.000,-3.000,8.000,3.000,16.000,5.000,16.000,-2.000,16.000,-3.000,32.000,10.000,34.000,0.000,13.000,1.300,2.100,3.000,4.500,0.100,0.300,5.000,10.000
2800,-1.500,13.000,-2.100,13.000,-0.500,13.000,-1.000,13.000,-1.500,13.000,-2.100,13.000,-2.100,13.000,-2.100,13.000,0.000,13.000,0.000,13.000,-2.000,13.000,-2.100,13.000,0.000,13.000,-2.100,13.000,0.000,13.000,0.000,13.000,0.000,13.000,-2.100,13.000,-2.400,3.000,-3.000,8.000,3.000,16.000,5.000,16.000,-2.000,16.000,-3.000,32.000,10.000,34.000,0.000,13.000,1.300,2.100,3.000,4.500,0.100,0.300,5.000,10.000
2900,-1.500,13.000,-2.100,13.000,-0.500,13.000,-1.000,13.000,-1.500,13.000,-2.100,13.000,-2.100,13.000,-2.100,13.000,0.000,13.000,0.000,13.000,-2.000,13.000,-2.100,13.000,0.000,13.000,-2.100,13.000,0.000,13.000,0.000,13.000,0.000,13.000,-2.100,13.000,-2.400,3.000,-3.000,8.000,3.000,16.000,5.000,16.000,-2.000,16.000,-3.000,32.000,10.000,34.000,0.000,13.000,1.300,2.100,3.000,4.500,0.100,0.300,5.000,10.000
3000,-1.500,7.000,-2.100,7.000,-0.500,7.000,-1.000,7.000,-1.500,7.000,-2.100,7.000,-2.100,7.000,-2.100,7.000,0.000,7.000,0.000,7.000,-2.000,7.000,-2.100,7.000,0.000,7.000,-2.100,7.000,0.000,7.000,0.000,7.000,0.000,7.000,-2.100,7.000,-2.400,3.000,-3.000,7.000,3.000,16.000,5.000,16.000,-2.000,16.000,-3.000,13.000,10.000,34.000,0.000,12.000,1.250,1.900,3.000,4.500,0.150,0.350,5.000,10.000
3100,-1.500,7.000,-2.100,7.000,-0.500,7.000,-1.000,7.000,-1.500,7.000,-2.100,7.000,-2.100,7.000,-2.100,7.000,0.000,7.000,0.000,7.000,-2.000,7.000,-2.100,7.000,0.000,7.000,-2.100,7.000,0.000,7.000,0.000,7.000,0.000,7.000,-2.100,7.000,-2.400,3.000,-3.000,7.000,3.000,16.000,5.000,16.000,-2.000,16.000,-3.000,13.000,10.000,34.000,0.000,12.000,1.250,1.900,3.000,4.500,0.150,0.350,5.000,10.000
3200,-1.500,7.000,-2.100,7.000,-0.500,7.000,-1.000,7.000,-1.500,7.000,-2.100,7.000,-2.100,7.000,-2.100,7.000,0.000,7.000,0.000,7.000,-2.000,7.000,-2.100,7.000,0.000,7.000,-2.100,7.000,0.000,7.000,0.000,7.000,0.000,7.000,-2.100,7.000,-2.400,3.000,-3.000,7.000,3.000,16.000,5.000,16.000,-2.000,16.000,-3.000,13.000,10.000,34.000,0.000,12.000,1.250,1.900,3.000,4.500,0.150,0.350,5.000,10.000
3300,-1.500,7.000,-2.100,7.000,-0.500,7.000,-1.000,7.000,-1.500,7.000,-2.100,7.000,-2.100,7.000,-2.100,7.000,0.000,7.000,0.000,7.000,-2.000,7.000,-2.100,7.000,0.000,7.000,-2.100,7.000,0.000,7.000,0.000,7.000,0.000,7.000,-2.100,7.000,-2.400,3.000,-3.000,7.000,3.000,16.000,5.000,16.000,-2.000,16.000,-3.000,13.000,10.000,34.000,0.000,12.000,1.250,1.900,3.000,4.500,0.150,0.350,5.000,10.000
3400,-1.500,7.000,-2.100,7.000,-0.500,7.000,-1.000,7.000,-1.500,7.000,-2.100,7.000,-2.100,7.000,-2.100,7.000,0.000,7.000,0.000,7.000,-2.000,7.000,-2.100,7.000,0.000,7.000,-2.100,7.000,0.000,7.000,0.000,7.000,0.000,7.000,-2.100,7.000,-2.400,3.000,-3.000,7.000,3.000,16.000,5.000,16.000,-2.000,16.000,-3.000,13.000,10.000,34.000,0.000,12.000,1.250,1.900,3.000,4.500,0.150,0.350,5.000,10.000
3500,-1.500,7.000,-2.100,7.000,-0.500,7.000,-1.000,7.000,-1.500,7.000,-2.100,7.000,-2.100,7.000,-2.100,7.000,0.000,7.000,0.000,7.000,-2.000,7.000,-2.100,7.000,0.000,7.000,-2.100,7.000,0.000,7.000,0.000,7.000,0.000,7.000,-2.100,7.000,-2.400,3.000,-3.000,7.000,3.000,16.000,5.000,16.000,-2.000,16.000,-3.000,13.000,10.000,20.000,0.000,12.000,1.200,1.800,3.000,4.500,0.200,0.400,5.000,10.000
3600,-1.500,7.000,-2.100,7.000,-0.500,7.000,-1.000,7.000,-1.500,7.000,-2.100,7.000,-2.100,7.000,-2.100,7.000,0.000,7.000,0.000,7.000,-2.000,7.000,-2.100,7.000,0.000,7.000,-2.100,7.000,0.000,7.000,0.000,7.000,0.000,7.000,-2.100,7.000,-2.400,3.000,-3.000,7.000,3.000,16.000,5.000,16.000,-2.000,16.000,-3.000,13.000,10.000,20.000,0.000,12.000,1.200,1.800,3.000,4.500,0.200,0.400,5.000,10.000
3700,-1.500,7.000,-2.100,7.000,-0.500,7.000,-1.000,7.000,-1.500,7.000,-2.100,7.000,-2.100,7.000,-2.100,7.000,0.000,7.000,0.000,7.000,-2.000,7.000,-2.100,7.000,0.000,7.000,-2.100,7.000,0.000,7.000,0.000,7.000,0.000,7.000,-2.100,7.000,-2.400,3.000,-3.000,7.000,3.000,16.000,5.000,16.000,-2.000,16.000,-3.000,13.000,10.000,20.000,0.000,12.000,1.200,1.800,3.000,4.500,0.200,0.400,5.000,10.000
3800,-1.500,7.000,-2.100,7.000,-0.500,7.000,-1.000,7.000,-1.500,7.000,-2.100,7.000,-2.100,7.000,-2.100,7.000,0.000,7.000,0.000,7.000,-2.000,7.000,-2.100,7.000,0.000,7.000,-2.100,7.000,0.000,7.000,0.000,7.000,0.000,7.000,-2.100,7.000,-2.400,3.000,-3.000,7.000,3.000,16.000,5.000,16.000,-2.000,16.000,-3.000,13.000,10.000,20.000,0.000,12.000,1.200,1.800,3.000,4.500,0.200,0.400,5.000,10.000
3900,-1.500,7.000,-2.100,7.000,-0.500,7.000,-1.000,7.000,-1.500,7.000,-2.100,7.000,-2.100,7.000,-2.100,7.000,0.000,7.000,0.000,7.000,-2.000,7.000,-2.100,7.000,0.000,7.000,-2.100,7.000,0.000,7.000,0.000,7.000,0.000,7.000,-2.100,7.000,-2.400,3.000,-3.000,7.000,3.000,16.000,5.000,16.000,-2.000,16.000,-3.000,13.000,10.000,20.000,0.000,12.000,1.200,1.800,3.000,4.500,0.200,0.400,5.000,10.000
4000,-1.500,7.000,-1.500,7.000,-0.500,7.000,-1.000,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,3.000,-1.500,7.000,3.000,16.000,5.000,16.000,-2.000,16.000,-1.500,7.000,10.000,20.000,-1.500,12.000,1.200,1.800,3.000,4.500,0.300,0.450,5.000,10.000
4100,-1.500,7.000,-1.500,7.000,-0.500,7.000,-1.000,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,3.000,-1.500,7.000,3.000,16.000,5.000,16.000,-2.000,16.000,-1.500,7.000,10.000,20.000,-1.500,12.000,1.200,1.800,3.000,4.500,0.300,0.450,5.000,10.000
4200,-1.500,7.000,-1.500,7.000,-0.500,7.000,-1.000,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,3.000,-1.500,7.000,3.000,16.000,5.000,16.000,-2.000,16.000,-1.500,7.000,10.000,20.000,-1.500,12.000,1.200,1.800,3.000,4.500,0.300,0.450,5.000,10.000
4300,-1.500,7.000,-1.500,7.000,-0.500,7.000,-1.000,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,3.000,-1.500,7.000,3.000,16.000,5.000,16.000,-2.000,16.000,-1.500,7.000,10.000,20.000,-1.500,12.000,1.200,1.800,3.000,4.500,0.300,0.450,5.000,10.000
4400,-1.500,7.000,-1.500,7.000,-0.500,7.000,-1.000,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,3.000,-1.500,7.000,3.000,16.000,5.000,16.000,-2.000,16.000,-1.500,7.000,10.000,20.000,-1.500,12.000,1.200,1.800,3.000,4.500,0.300,0.450,5.000,10.000
4500,-1.500,7.000,-1.500,7.000,-0.500,7.000,-1.000,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,3.000,-1.500,7.000,3.000,16.000,5.000,16.000,-2.000,16.000,-1.500,7.000,10.000,20.000,-1.500,12.000,1.250,1.850,3.000,4.500,0.300,0.450,5.000,10.000
4600,-1.500,7.000,-1.500,7.000,-0.500,7.000,-1.000,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,3.000,-1.500,7.000,3.000,16.000,5.000,16.000,-2.000,16.000,-1.500,7.000,10.000,20.000,-1.500,12.000,1.250,1.850,3.000,4.500,0.300,0.450,5.000,10.000
4700,-1.500,7.000,-1.500,7.000,-0.500,7.000,-1.000,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,7.000,-1.500,3.000,-1.500,7.000,3.000,16.000,5.000,16.000,-2.000,16.000,-1.500,7.000,10.000,20.000,-1.500,12.000,1.250,1.850,3.000,4.500,0.300,0.450,5.000,10.000
