400,-1.50,20.00,-3.00,28.00,3.00,28.00,0.00,28.00,-1.50,28.00,-3.00,28.00,-3.00,28.00,-3.00,28.00,3.00,28.00,3.00,28.00,-2.00,28.00,-3.00,28.00,3.00,28.00,-3.00,28.00,3.00,28.00,3.00,28.00,0.00,28.00,-3.00,28.00,-3.00,15.00,-3.00,10.00,3.00,20.00,5.00,20.00,-2.00,16.00,-3.00,32.00,10.00,28.00,0.00,28.00
500,-1.50,20.00,-3.00,28.00,3.00,28.00,0.00,28.00,-1.50,28.00,-3.00,28.00,-3.00,28.00,-3.00,28.00,0.00,28.00,0.00,28.00,-2.00,28.00,-3.00,28.00,3.00,28.00,-3.00,28.00,0.00,28.00,0.00,28.00,0.00,28.00,-3.00,28.00,-3.00,15.00,-3.00,10.00,3.00,20.00,5.00,20.00,-2.00,16.00,-3.00,32.00,10.00,28.00,0.00,28.00
600,-1.50,20.00,-3.00,20.00,3.00,20.00,0.00,20.00,-1.50,20.00,-3.00,20.00,-3.00,20.00,-3.00,20.00,0.00,20.00,0.00,20.00,-2.00,20.00,-3.00,20.00,0.00,20.00,-3.00,20.00,0.00,20.00,0.00,20.00,0.00,20.00,-3.00,20.00,-3.00,10.00,-3.00,9.00,3.00,20.00,5.00,17.00,-2.00,16.00,-3.00,32.00,10.00,26.00,0.00,20.00
700,-1.50,20.00,-3.00,20.00,3.00,20.00,0.00,20.00,-1.50,20.00,-3.00,20.00,-3.00,20.00,-3.00,20.00,0.00,20.00,0.00,20.00,-2.00,20.00,-3.00,20.00,0.00,20.00,-3.00,20.00,0.00,20.00,0.00,20.00,0.00,20.00,-3.00,20.00,-3.00,10.00,-3.00,9.00,3.00,20.00,5.00,17.00,-2.00,16.00,-3.00,32.00,10.00,26.00,0.00,20.00
800,-1.50,20.00,-3.00,20.00,-0.50,20.00,0.00,20.00,-1.50,20.00,-3.00,20.00,-3.00,20.00,-3.00,20.00,0.00,20.00,0.00,20.00,-2.00,20.00,-3.00,20.00,0.00,20.00,-3.00,20.00,0.00,20.00,0.00,20.00,0.00,20.00,-3.00,20.00,-3.00,10.00,-3.00,9.00,3.00,20.00,5.00,17.00,-2.00,16.00,-3.00,32.00,10.00,26.00,0.00,20.00
900,-1.50,20.00,-3.00,20.00,-0.50,20.00,0.00,20.00,-1.50,20.00,-3.00,20.00,-3.00,20.00,-3.00,20.00,0.00,20.00,0.00,20.00,-2.00,20.00,-3.00,20.00,0.00,20.00,-3.00,20.00,0.00,20.00,0.00,20.00,0.00,20.00,-3.00,20.00,-3.00,10.00,-3.00,9.00,3.00,20.00,5.00,16.00,-2.00,16.00,-3.00,32.00,10.00,26.00,0.00,20.00
1000,-1.50,18.00,-3.00,18.00,-0.50,18.00,0.00,18.00,-1.50,18.00,-3.00,18.00,-3.00,18.00,-3.00,18.00,0.00,18.00,0.00,18.00,-2.00,18.00,-3.00,18.00,0.00,18.00,-3.00,18.00,0.00,18.00,0.00,18.00,0.00,18.00,-3.00,18.00,-3.00,10.00,-3.00,8.00,3.00,20.00,5.00,16.00,-2.00,16.00,-3.00,32.00,10.00,23.00,0.00,18.00
1100,-1.50,18.00,-3.00,18.00,-0.50,18.00,0.00,18.00,-1.50,18.00,-3.00,18.00,-3.00,18.00,-3.00,18.00,0.00,18.00,0.00,18.00,-2.00,18.00,-3.00,18.00,0.00,18.00,-3.00,18.00,0.00,18.00,0.00,18.00,0.00,18.00,-3.00,18.00,-3.00,10.00,-3.00,8.00,3.00,20.00,5.00,16.00,-2.00,16.00,-3.00,32.00,10.00,23.00,0.00,18.00
1200,-1.50,18.00,-3.00,18.00,-0.50,18.00,0.00,18.00,-1.50,18.00,-3.00,18.00,-3.00,18.00,-3.00,18.00,0.00,18.00,0.00,18.00,-2.00,18.00,-3.00,18.00,0.00,18.00,-3.00,18.00,0.00,18.00,0.00,18.00,0.00,18.00,-3.00,18.00,-3.00,7.00,-3.00,8.00,3.00,18.00,5.00,16.00,-2.00,16.00,-3.00,32.00,10.00,23.00,0.00,18.00
1300,-1.50,18.00,-3.00,18.00,-0.50,18.00,0.00,18.00,-1.50,18.00,-3.00,18.00,-3.00,18.00,-3.00,18.00,0.00,18.00,0.00,18.00,-2.00,18.00,-3.00,18.00,0.00,18.00,-3.00,18.00,0.00,18.00,0.00,18.00,0.00,18.00,-3.00,18.00,-3.00,7.00,-3.00,8.00,3.00,18.00,5.00,16.00,-2.00,16.00,-3.00,32.00,10.00,23.00,0.00,18.00
1400,-1.50,18.00,-3.00,18.00,-0.50,18.00,0.00,18.00,-1.50,18.00,-3.00,18.00,-3.00,18.00,-3.00,18.00,0.00,18.00,0.00,18.00,-2.00,18.00,-3.00,18.00,0.00,18.00,-3.00,18.00,0.00,18.00,0.00,18.00,0.00,18.00,-3.00,18.00,-3.00,7.00,-3.00,8.00,3.00,18.00,5.00,16.00,-2.00,16.00,-3.00,32.00,10.00,23.00,0.00,18.00
1500,-1.50,18.00,-3.00,18.00,-0.50,18.00,0.00,18.00,-1.50,18.00,-3.00,18.00,-3.00,18.00,-3.00,18.00,0.00,18.00,0.00,18.00,-2.00,18.00,-3.00,18.00,0.00,18.00,-3.00,18.00,0.00,18.00,0.00,18.00,0.00,18.00,-3.00,18.00,-3.00,7.00,-3.00,8.00,3.00,18.00,5.00,16.00,-2.00,16.00,-3.00,32.00,10.00,23.00,0.00,18.00
1750,-1.50,13.00,-3.00,13.00,-0.50,13.00,0.00,13.00,-1.50,13.00,-3.00,13.00,-3.00,13.00,-3.00,13.00,0.00,13.00,0.00,13.00,-2.00,13.00,-3.00,13.00,0.00,13.00,-3.00,13.00,0.00,13.00,0.00,13.00,0.00,13.00,-3.00,13.00,-3.00,7.00,-3.00,8.00,3.00,16.00,5.00,16.00,-2.00,16.00,-3.00,32.00,10.00,34.00,0.00,13.00
2000,-1.50,13.00,-3.00,13.00,-0.50,13.00,0.00,13.00,-1.50,13.00,-3.00,13.00,-3.00,13.00,-3.00,13.00,0.00,13.00,0.00,13.00,-2.00,13.00,-3.00,13.00,0.00,13.00,-3.00,13.00,0.00,13.00,0.00,13.00,0.00,13.00,-3.00,13.00,-3.00,7.00,-3.00,8.00,3.00,16.00,5.00,16.00,-2.00,16.00,-3.00,32.00,10.00,34.00,0.00,13.00
2500,-1.50,13.00,-3.00,13.00,-0.50,13.00,-1.00,13.00,-1.50,13.00,-3.00,13.00,-3.00,13.00,-3.00,13.00,0.00,13.00,0.00,13.00,-2.00,13.00,-3.00,13.00,0.00,13.00,-3.00,13.00,0.00,13.00,0.00,13.00,0.00,13.00,-3.00,13.00,-3.00,3.00,-3.00,8.00,3.00,16.00,5.00,16.00,-2.00,16.00,-3.00,32.00,10.00,34.00,0.00,13.00
3000,-1.50,7.00,-3.00,7.00,-0.50,7.00,-1.00,7.00,-1.50,7.00,-3.00,7.00,-3.00,7.00,-3.00,7.00,0.00,7.00,0.00,7.00,-2.00,7.00,-3.00,7.00,0.00,7.00,-3.00,7.00,0.00,7.00,0.00,7.00,0.00,7.00,-3.00,7.00,-3.00,3.00,-3.00,7.00,3.00,16.00,5.00,16.00,-2.00,16.00,-3.00,13.00,10.00,34.00,0.00,12.00
3500,-1.50,7.00,-3.00,7.00,-0.50,7.00,-1.00,7.00,-1.50,7.00,-3.00,7.00,-3.00,7.00,-3.00,7.00,0.00,7.00,0.00,7.00,-2.00,7.00,-3.00,7.00,0.00,7.00,-3.00,7.00,0.00,7.00,0.00,7.00,0.00,7.00,-3.00,7.00,-3.00,3.00,-3.00,7.00,3.00,16.00,5.00,16.00,-2.00,16.00,-3.00,13.00,10.00,20.00,0.00,12.00
4000,-1.50,7.00,-1.50,7.00,-0.50,7.00,-1.00,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,3.00,-1.50,7.00,3.00,16.00,5.00,16.00,-2.00,16.00,-1.50,7.00,10.00,20.00,-1.50,12.00
4500,-1.50,7.00,-1.50,7.00,-0.50,7.00,-1.00,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,3.00,-1.50,7.00,3.00,16.00,5.00,16.00,-2.00,16.00,-1.50,7.00,10.00,20.00,-1.50,12.00
5000,-1.50,7.00,-1.50,7.00,-0.50,7.00,-1.00,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,7.00,-1.50,3.00,-1.50,7.00,3.00,16.00,5.00,16.00,-2.00,16.00,-1.50,7.00,10.00,20.00,-1.50,12.00
5500+,-1.50,5.00,-1.50,3.00,-0.50,3.00,-1.00,3.00,-1.50,3.00,-1.50,3.00,-1.50,3.00,-1.50,3.00,-1.50,3.00,-1.50,3.00,-1.50,3.00,-1.50,3.00,-1.50,3.00,-1.50,3.00,-1.50,3.00,-1.50,3.00,-1.50,3.00,-1.50,3.00,-1.50,3.00,-1.50,3.00,3.00,16.00,5.00,16.00,-2.00,16.00,-1.50,7.00,10.00,20.00,-1.50,12.00
